date,hour,traffic
09/02/14,15,81
09/02/14,16,82
09/02/14,17,84
09/02/14,18,71
09/02/14,19,34
09/02/14,20,19
09/02/14,21,0
09/02/14,22,0
10/02/14,8,0
10/02/14,9,0
10/02/14,10,16
10/02/14,11,35
10/02/14,12,52
10/02/14,13,52
10/02/14,14,65
10/02/14,15,41
10/02/14,16,52
10/02/14,17,43
10/02/14,18,74
10/02/14,19,31
10/02/14,20,21
10/02/14,21,0
10/02/14,22,0
11/02/14,8,0
11/02/14,9,0
11/02/14,10,19
11/02/14,11,43
11/02/14,12,46
11/02/14,13,51
11/02/14,14,70
11/02/14,15,57
11/02/14,16,49
11/02/14,17,101
11/02/14,18,47
11/02/14,19,37
11/02/14,20,39
11/02/14,21,0
11/02/14,22,0
12/02/14,8,0
12/02/14,9,0
12/02/14,10,26
12/02/14,11,49
12/02/14,12,61
12/02/14,13,85
12/02/14,14,76
12/02/14,15,77
12/02/14,16,86
12/02/14,17,91
12/02/14,18,80
12/02/14,19,80
12/02/14,20,76
12/02/14,21,0
12/02/14,22,0
13/02/14,8,0
13/02/14,9,0
13/02/14,10,33
13/02/14,11,60
13/02/14,12,74
13/02/14,13,67
13/02/14,14,62
13/02/14,15,98
13/02/14,16,84
13/02/14,17,82
13/02/14,18,97
13/02/14,19,75
13/02/14,20,63
13/02/14,21,0
13/02/14,22,0
14/02/14,8,0
14/02/14,9,0
14/02/14,10,33
14/02/14,11,45
14/02/14,12,76
14/02/14,13,88
14/02/14,14,73
14/02/14,15,90
14/02/14,16,106
14/02/14,17,94
14/02/14,18,100
14/02/14,19,117
14/02/14,20,87
14/02/14,21,0
14/02/14,22,0
15/02/14,8,0
15/02/14,9,0
15/02/14,10,29
15/02/14,11,44
15/02/14,12,48
15/02/14,13,79
15/02/14,14,80
15/02/14,15,70
15/02/14,16,96
15/02/14,17,68
15/02/14,18,69
15/02/14,19,69
15/02/14,20,34
15/02/14,21,0
15/02/14,22,0
16/02/14,8,0
16/02/14,9,0
16/02/14,10,17
16/02/14,11,40
16/02/14,12,55
16/02/14,13,68
16/02/14,14,75
16/02/14,15,81
16/02/14,16,95
16/02/14,17,76
16/02/14,18,46
16/02/14,19,41
16/02/14,20,26
16/02/14,21,0
16/02/14,22,0
17/02/14,8,0
17/02/14,9,0
17/02/14,10,23
17/02/14,11,25
17/02/14,12,27
17/02/14,13,32
17/02/14,14,24
17/02/14,15,24
17/02/14,16,44
17/02/14,17,37
17/02/14,18,15
17/02/14,19,25
17/02/14,20,13
17/02/14,21,0
17/02/14,22,0
18/02/14,8,0
18/02/14,9,0
18/02/14,10,18
18/02/14,11,24
18/02/14,12,24
18/02/14,13,28
18/02/14,14,31
18/02/14,15,33
18/02/14,16,52
18/02/14,17,19
18/02/14,18,31
18/02/14,19,28
18/02/14,20,13
18/02/14,21,0
18/02/14,22,0
19/02/14,8,0
19/02/14,9,0
19/02/14,10,18
19/02/14,11,18
19/02/14,12,34
19/02/14,13,33
19/02/14,14,16
19/02/14,15,45
19/02/14,16,46
19/02/14,17,36
19/02/14,18,46
19/02/14,19,22
19/02/14,20,26
19/02/14,21,0
19/02/14,22,0
20/02/14,8,0
20/02/14,9,0
20/02/14,10,31
20/02/14,11,40
20/02/14,12,16
20/02/14,13,39
20/02/14,14,41
20/02/14,15,50
20/02/14,16,55
20/02/14,17,52
20/02/14,18,34
20/02/14,19,27
20/02/14,20,26
20/02/14,21,0
20/02/14,22,0
21/02/14,8,0
21/02/14,9,0
21/02/14,10,20
21/02/14,11,42
21/02/14,12,28
21/02/14,13,40
21/02/14,14,45
21/02/14,15,41
21/02/14,16,57
21/02/14,17,58
21/02/14,18,51
21/02/14,19,56
21/02/14,20,27
21/02/14,21,0
21/02/14,22,0
22/02/14,8,0
22/02/14,9,0
22/02/14,10,30
22/02/14,11,58
22/02/14,12,59
22/02/14,13,70
22/02/14,14,76
22/02/14,15,93
22/02/14,16,94
22/02/14,17,79
22/02/14,18,70
22/02/14,19,58
22/02/14,20,45
22/02/14,21,0
22/02/14,22,0
23/02/14,8,0
23/02/14,9,0
23/02/14,10,17
23/02/14,11,50
23/02/14,12,46
23/02/14,13,76
23/02/14,14,111
23/02/14,15,73
23/02/14,16,92
23/02/14,17,83
23/02/14,18,58
23/02/14,19,29
23/02/14,20,18
23/02/14,21,0
23/02/14,22,0
24/02/14,8,0
24/02/14,9,0
24/02/14,10,22
24/02/14,11,26
24/02/14,12,26
24/02/14,13,30
24/02/14,14,28
24/02/14,15,35
24/02/14,16,25
24/02/14,17,34
24/02/14,18,36
24/02/14,19,24
24/02/14,20,19
24/02/14,21,0
24/02/14,22,0
25/02/14,8,0
25/02/14,9,0
25/02/14,10,27
25/02/14,11,33
25/02/14,12,38
25/02/14,13,37
25/02/14,14,35
25/02/14,15,34
25/02/14,16,46
25/02/14,17,50
25/02/14,18,42
25/02/14,19,45
25/02/14,20,21
25/02/14,21,0
25/02/14,22,0
26/02/14,8,0
26/02/14,9,0
26/02/14,10,27
26/02/14,11,27
26/02/14,12,34
26/02/14,13,23
26/02/14,14,27
26/02/14,15,35
26/02/14,16,21
26/02/14,17,42
26/02/14,18,57
26/02/14,19,50
26/02/14,20,33
26/02/14,21,0
26/02/14,22,0
27/02/14,8,0
27/02/14,9,0
27/02/14,10,31
27/02/14,11,28
27/02/14,12,28
27/02/14,13,29
27/02/14,14,34
27/02/14,15,48
27/02/14,16,41
27/02/14,17,57
27/02/14,18,67
27/02/14,19,48
27/02/14,20,17
27/02/14,21,0
27/02/14,22,0
28/02/14,8,0
28/02/14,9,0
28/02/14,10,36
28/02/14,11,44
28/02/14,12,40
28/02/14,13,43
28/02/14,14,65
28/02/14,15,63
28/02/14,16,78
28/02/14,17,70
28/02/14,18,91
28/02/14,19,79
28/02/14,20,42
28/02/14,21,0
28/02/14,22,0
01/03/14,8,0
01/03/14,9,0
01/03/14,10,46
01/03/14,11,63
01/03/14,12,97
01/03/14,13,89
01/03/14,14,120
01/03/14,15,116
01/03/14,16,122
01/03/14,17,141
01/03/14,18,125
01/03/14,19,76
01/03/14,20,32
01/03/14,21,0
01/03/14,22,0
02/03/14,8,0
02/03/14,9,0
02/03/14,10,22
02/03/14,11,54
02/03/14,12,84
02/03/14,13,94
02/03/14,14,89
02/03/14,15,77
02/03/14,16,93
02/03/14,17,79
02/03/14,18,55
02/03/14,19,47
02/03/14,20,20
02/03/14,21,0
02/03/14,22,0
03/03/14,8,0
03/03/14,9,0
03/03/14,10,19
03/03/14,11,31
03/03/14,12,40
03/03/14,13,25
03/03/14,14,37
03/03/14,15,48
03/03/14,16,35
03/03/14,17,61
03/03/14,18,40
03/03/14,19,35
03/03/14,20,18
03/03/14,21,0
03/03/14,22,0
04/03/14,8,0
04/03/14,9,0
04/03/14,10,25
04/03/14,11,37
04/03/14,12,42
04/03/14,13,51
04/03/14,14,32
04/03/14,15,51
04/03/14,16,58
04/03/14,17,58
04/03/14,18,41
04/03/14,19,37
04/03/14,20,10
04/03/14,21,0
04/03/14,22,0
05/03/14,8,0
05/03/14,9,0
05/03/14,10,44
05/03/14,11,21
05/03/14,12,28
05/03/14,13,35
05/03/14,14,38
05/03/14,15,33
05/03/14,16,45
05/03/14,17,57
05/03/14,18,59
05/03/14,19,47
05/03/14,20,18
05/03/14,21,0
05/03/14,22,0
06/03/14,8,0
06/03/14,9,0
06/03/14,10,21
06/03/14,11,49
06/03/14,12,39
06/03/14,13,54
06/03/14,14,51
06/03/14,15,43
06/03/14,16,57
06/03/14,17,100
06/03/14,18,86
06/03/14,19,73
06/03/14,20,45
06/03/14,21,0
06/03/14,22,0
07/03/14,8,0
07/03/14,9,0
07/03/14,10,36
07/03/14,11,46
07/03/14,12,69
07/03/14,13,74
07/03/14,14,65
07/03/14,15,95
07/03/14,16,77
07/03/14,17,112
07/03/14,18,108
07/03/14,19,105
07/03/14,20,66
07/03/14,21,0
07/03/14,22,0
08/03/14,8,0
08/03/14,9,0
08/03/14,10,51
08/03/14,11,108
08/03/14,12,128
08/03/14,13,133
08/03/14,14,157
08/03/14,15,142
08/03/14,16,225
08/03/14,17,178
08/03/14,18,129
